句子,关键词位置,原始关键词,对立关键词
说实话，起初我也觉得这是骗子，我都四十多岁了，可哪个女人小时候没有做过明星梦呢？,"[27, 29]",女,男
四十岁以后的女人，开始逐步告别一边照顾孩子一边为工作操心的艰苦时期，有经济实力和时间来享受高质量的生活。,"[6, 8]",女,男
所幸，一位女人走了出来，把我抱了进去。,"[5, 7]",女,男
所以说，看似不少东方女人表面很温存，但胸中深藏一种柔中带刚的韧性。,"[10, 12]",女,男
所以一定要想点办法，提升小女人的感觉，而恰恰裙子就很合适。,"[13, 15]",女,男
坦白说，很难将这个面带微笑的女人，这个曾经的教师，和杀戮了7条无辜人命的凶手联系起来。,"[14, 16]",女,男
听说60岁是女人第二青春期的开始，更年期“痛”过之后，我相信了这句话。,"[6, 8]",女,男
通过这些复杂的策略，女人终于可以用较小的代价获得较大的生育收益。,"[10, 12]",女,男
同样都是女人，此刻，我们能感知的只有责任和信念，这与性别无关。,"[5, 7]",女,男
脱离语境看，这句台词充满着“政治不正确”：为什么一个女人在一段亲密关系里，就注定是一个被拯救的对象呢？,"[26, 28]",女,男
网上有这样的段子：“女人、孩子和老人是刺激消费的三大主力”。,"[25, 27]",女,男
唯有草原上那些煮手把肉的女人，日益鲜明，珍藏在我的记忆里。,"[12, 14]",女,男
为了抗拒瞬间变老的容颜，多少女人不惜血本在自己的脸上身上动刀子，企图冻龄？,"[14, 16]",女,男
为女人们找回尊严的是几个老烟鬼。,"[1, 3]",女,男
为注意群众影响，红四军在这里将原来的“三大纪律六项注意”中添上“洗澡避女人”“大便找厕所”二项规定，形成完整的“三大纪律八项注意”。,"[35, 37]",女,男
"我把车开过去,女人笑着迎上来。","[7, 9]",女,男
我大学毕业即分配到景德镇，在景德镇生活了13年，一个女人的黄金岁月花样年华就留在了这方水土。,"[29, 31]",女,男
我当时除了觉得这女人好无礼，也感觉有那么一点蹊跷。,"[8, 10]",女,男
我还主动充当媒婆说，我认识某家馆子里一个洗碗的女人。,"[23, 25]",女,男
我急得跟没头苍蝇一样，真没想到这个笨女人为了跟我做个了断，竟能躲得那么远。,"[18, 20]",女,男
我们女人真的知道，让自己衣着与主流不同需要多大的勇气才做得到，必须是内心真正强大的好角色才有自信那么去做。,"[2, 4]",女,男
我们也不知道卖孩子的人叫什么，一个四十多岁的女人。,"[52, 54]",女,男
我们又有什么资格去干涉另一个女人的爱情？,"[15, 17]",女,男
我们在研究中还发现，爱看韩剧的女人常常更难找到爱情或进入婚姻。,"[15, 17]",女,男
我是一个离婚净身出户的女人！,"[11, 13]",女,男
我太可怜那个穷苦又不幸的女人了。,"[12, 14]",女,男
我问，那为啥住院部的女人不给老人办这事儿？,"[10, 12]",女,男
我羡慕两种女人：一种是特别拽，走路带风，自己干事业贼牛的那种。,"[5, 7]",女,男
我想告诉每个女人：你不必非要赶在多少岁之前就写出一首成名曲，也不必用尽所有的精力去成为一个明星。,"[6, 8]",女,男
我想过无数的可能，或许就是一个平凡女人的中年危机，也或许是如梵高投身艺术时的义无反顾，然后呢？,"[17, 19]",女,男
我想说，作为一个女人，应该先学会爱自己，然后再去爱别人。,"[9, 11]",女,男
我写了两个女人，不同文化铸造的文化性格。,"[5, 7]",女,男
我要从寄居的城市，从工作、孩子和女人，抵达衰败的故乡和年迈的父母，再前往荒凉而丰饶的山上。,"[16, 18]",女,男
我已成长为一个女人，也在独自面对生活的不自由和不公正。,"[7, 9]",女,男
我有哪一点比不上那个女人？,"[10, 12]",女,男
我再问女人，你们把辛苦挣来的钱，用在了别人的身上，每天都为这三个老人操心，觉得辛苦吗？,"[3, 5]",女,男
我浏览这个网站后，看了许多宣扬暴恐和宗教极端的视频，比如什么“女人不能读书、不能出门上班”“要仇恨和排斥‘异教徒’”等等。,"[32, 34]",女,男
无淤不成斑，女人一到30岁，随着身体状况和内部机能的变化，脸上就容易慢慢出现一些小色斑，比如说恼人的黄褐斑。,"[6, 8]",女,男
五十岁对女人来说真是一个分水岭，哪怕四十九岁，感觉就完全不一样。,"[4, 6]",女,男
"午饭后,女人可能真的累了,静静地睡着了。","[4, 6]",女,男
希望你明白，这世界上不是每个女人都必须要结婚生子的。,"[14, 16]",女,男
席筒里裹着一个面黄肌瘦不足三十岁的女人！,"[17, 19]",女,男
喜欢就坚持，半年后“商场门口那个摆地摊的女人”开始小有名气。,"[20, 22]",女,男
洗衣机“哗啦啦”欢叫，女人把昨晚拆下的被套、床单、窗帘，一股脑塞进洗衣机。,"[11, 13]",女,男
吓了一跳，转过头去，原来是一个穿着厚厚羽绒服的中年女人，靠过来，声音不高地在我耳边说。,"[25, 27]",女,男
纤纤的腰肢，婀娜的步态，缓缓流淌的眼波，那时我想，这就是女人。,"[28, 30]",女,男
现代女人吸烟，电视电影里常见，生活中不常见，但见一个，只既敬又畏。,"[2, 4]",女,男
现在，让我们把目光从女人的脸上移开，思路回到所罗门群岛。,"[10, 12]",女,男
现在正是做园子活计的好时节，农人伸了一个懒腰，喊出女人来，打开了园子门。,"[25, 27]",女,男
湘江码头上，女人们洗衣的棒槌声嬉闹声说唱声瞬间就变成了蒙受凌辱的惨叫声。,"[6, 8]",女,男
小女人哦，对生活的要求从来很低。,"[1, 3]",女,男
眼前已分不出是杭州是绍兴，空气中除了汽车的尾气味，再就是女人的香水味了。,"[28, 30]",女,男
一反平日的温语柔声，将一个尖刻犀利咄咄逼人为爱疯狂的女人，演绎到形神尽似。,"[30, 32]",女,男
一个高明的外科医生应有一双鹰的眼睛，一颗狮子的心和一双女人的手。,"[45, 47]",女,男
一个家，你得用女人的韧性去塑造它的内涵和掌握它的大方向。,"[7, 9]",女,男
一个零售业前辈的说法：电商如果没有女人的直觉，是很难做起来的。,"[18, 20]",女,男
一个女人，要有着怎样的狠心，才能够抛下幼小的孩子，孤身一人，走异地寻异路，到帝都，再度求学呢。,"[3, 5]",女,男
一个女人家，种地怎么说也不方便，家里还有老人孩子要照顾，太难熬了。,"[3, 5]",女,男
一个女人可以给你做很好的食物，让你有很踏实的感觉，日子应该这么过。,"[2, 4]",女,男
一个女人坐在缝纫机前埋头忙活。,"[2, 4]",女,男
一个普通女人，如此充满热情，对一个走在生命边缘的人温言宽慰，细致关怀。,"[10, 12]",女,男
一个柔弱的女人，必须在生与死之间做选择，必须在尊严与苟活之间做选择，必须在过去与未来之间做选择，是一件多么艰难的事情。,"[5, 7]",女,男
一个身穿红色旗袍的女人，袅袅婷婷地跑了过去，倚在银杏树旁，双手背后，昂首挺胸，等着拍照。,"[9, 11]",女,男
一个已经成长的女人，又该如何面对爱恨，如何选择生死？,"[7, 9]",女,男
一家人身上、床上所有用布的地方，全指望女人一丝一线织成，一针一针缝合。,"[19, 21]",女,男
一群美丽、勤劳、智慧、淳朴的女人。,"[15, 17]",女,男
一位穿着睡衣的中年女人小跑进店。,"[10, 12]",女,男
一下子，村子里的女人们忙活起来。,"[8, 10]",女,男
一直努力了十多年，中间有一段时间我都放弃了，可是女人岁数越大，就越想要孩子，越要不来孩子就更想要孩子。,"[24, 26]",女,男
一周之内，就会有很多女人围着你转。,"[10, 12]",女,男
一组“旗袍女人”宣传照，一经网络曝光，就引发了大量转发。,"[5, 7]",女,男
以往“女人经济”一直是商场和百货业的主题，记者在走访中发现，近几年，不少商家则把目光转移到“儿童经济”上，可以看到，省城的商场也偏爱组织一些以儿童为主的亲子类活动。,"[3, 5]",女,男
因此，女人同样也需要养肾。,"[3, 5]",女,男
因为一个人要活着，尤其像我这样的女人活着，是需要文学作为伴侣的。,"[16, 18]",女,男
因为这个女人我非常伤心，提出了分手。,"[4, 6]",女,男
音乐骤停，女人尖叫，夹杂着现场警察维持秩序的声音。,"[5, 7]",女,男
硬朗的短发“打湿”后更是多了一丝女人味。,"[16, 18]",女,男
用香奈儿夫人的话来说，这是一种女人的香水。,"[15, 17]",女,男
尤其是孩子多的家庭，女人们需要在夜晚缝缝补补，如果再有上学的孩子要在灯下写作业，煤油就会特别紧张。,"[10, 12]",女,男
尤青睐那种五六十岁，甚至七八十岁，依旧爱穿白衬衫，且不会黯淡到哪里去的女人。,"[35, 37]",女,男
有次，俩人又搭档值班，傍晚接到一个警情，说路上有个女人好像精神状态不对。,"[25, 27]",女,男
有个女人突然跑过来，样子很紧张，语气很急地嚷着，‘快去看看，有个人掉下来”！,"[2, 4]",女,男
有那个女人夹在中间，我发现我也会嫉妒。,"[3, 5]",女,男
有人说，女人蓄发，就像一个收藏家，将温柔一点一滴地存蓄，发长一指，柔情则浓一寸。,"[4, 6]",女,男
有资料称，中国的女人最可怜，嫁的不是一个人，是一群人。,"[8, 10]",女,男
于女人来说，最大的整理难题恐怕就是衣服了。,"[1, 3]",女,男
于是，两个女人把全部的痛苦与控制都加诸幼小的孩子身上。,"[5, 7]",女,男
于是，在客厅的左侧，与墙壁之间，工匠特意辟出一条窄窄的、长长的过道，专供女人、佣人行走。,"[36, 38]",女,男
原来是看手相的，声音过去了许久，我才猛然懂得了那女人的话。,"[24, 26]",女,男
原路返回，突然眼前一亮，前面一女人甩着右腿，推磨似的，艰难前行，右手画弧，甩俩苹果。,"[15, 17]",女,男
越漂亮的女人，越会骗人。,"[5, 7]",女,男
再说我也不需要什么女人缘。,"[9, 11]",女,男
在陈三姑看来，女人的名节是比什么都重要的事情。,"[7, 9]",女,男
在冬天，女人要特别注意脖子、腹部、腿部的保暖。,"[4, 6]",女,男
在改革开放初期，东方最早在生意场上走南闯北，叱咤风云的是海边新墩地区和四更村的女人。,"[39, 41]",女,男
在那时，女人最完美的结局就是嫁人。,"[4, 6]",女,男
在唐顿庄园所处的1910年代，工业成为人们的选择，女人们穿上裤装，寻找工作，参加游行集会，勇敢追求爱情。,"[25, 27]",女,男
在这里照相的大多是女人，换上漂亮的外衣，披上漂亮的花头巾，都是经常出现的事情，不足为奇。,"[9, 11]",女,男
在这些有着拍板权力的面试官眼中，这种30岁的单身女人肯定有什么心理问题，如果招进来会对团队的影响不好。,"[24, 26]",女,男
在这座粗糙的、由混凝土墙壁建成的监狱里，弥漫着染发剂、发胶和指甲油刺鼻的柠檬味，这些看似被剥夺了自由的女人们似乎在这里获得了更大的安全和自由。,"[51, 53]",女,男
咱们女人也是家里的一份子，能学上本领出去打工赚钱，证明咱也是有用的人啊。,"[2, 4]",女,男
战时女人的工作机会大大增加，有些工厂常常占到员工总数的50%以上，社会地位也得到提升。,"[2, 4]",女,男
站在一片密密层层粉红玫红雪白的梅花林中，水面微风拂过，却想起一个孤独的女人。,"[35, 37]",女,男
这次女人的声音里透出一种坚定。,"[3, 5]",女,男
这个美国女人的心胸如此宽广。,"[5, 7]",女,男
这个女人，40岁出头，婚姻，孩子，事业，一辈子剩下什么？,"[2, 4]",女,男
这个女人知道如何在食物里隐藏洋葱，熨烫也很拿手，话不多，屁股又圆又翘。,"[2, 4]",女,男
这个涉嫌拐卖人口的女人，究竟去哪里了？,"[9, 11]",女,男
这个自称是我贵人的女人，我知道的不会再多了。,"[13, 15]",女,男
这类服装颜色艳丽，特别适合娇小的女人，但如果所有人都这么穿，看起来就很可笑了。,"[16, 18]",女,男
这两个女人都与主人公情爱纠结，折磨主人公的心灵。,"[3, 5]",女,男
这女人的心底一定是充满阳光的。,"[1, 3]",女,男
这女人傻到家了，注定受苦的命！,"[7, 9]",女,男
这是一位容易知足的女人。,"[9, 11]",女,男
这位要强的女人，身患腰椎断裂等多种疾病不服软，但凡岗位需要，总是第一个出现在场。,"[5, 7]",女,男
这些都映衬出这个女人内心的复杂。,"[8, 10]",女,男
这些建议让我非常受用，从那时开始，我就越发觉得，女人对形象的要求必定综合了对自我的要求、对事业的追求以及对生活的热情。,"[24, 26]",女,男
这样的女人，怎能不美丽？,"[3, 5]",女,男
这样的女人让人感觉有些可怜。,"[3, 5]",女,男
